text,task,time,date
Finish the budget review before 1:45pm,Finish the budget review,1:45pm,
Send the invoice on July 1,Send the invoice on,,July 1
Submit the quarterly report by 8:00pm,Submit the quarterly report,8:00pm,
Set up a one-on-one on June 14 at 5:30pm,Set up a one-on-one,5:30pm,June 14
I need to review my applications at 9:45pm,I need to review,9:45pm,
Send the invoice on June 17,Send the invoice on,,June 17
Finish the budget review before 5:15pm,Finish the budget review,5:15pm,
Prepare slides for the presentation on May 31,Prepare slides for the,,May 31
Call the client on July 14,Call the client on,,July 14
I need to review my applications at 6:30pm,I need to review,6:30pm,
Schedule a team meeting for May 26 at 8:15am,Schedule a team meeting,8:15am,May 26
Set up a one-on-one on May 26 at 7:30am,Set up a one-on-one,7:30am,May 26
Meet with HR at 2:45pm,Meet with hr at,2:45pm,
Finish the budget review before 10:45am,Finish the budget review,10:45am,
Call the client on June 9,Call the client on,,June 9
Call the client on July 15,Call the client on,,July 15
Submit the quarterly report by 7:15am,Submit the quarterly report,7:15am,
Meet with HR at 9:45pm,Meet with hr at,9:45pm,
Call the client on July 11,Call the client on,,July 11
Schedule a team meeting for July 9 at 8:00am,Schedule a team meeting,8:00am,July 9
Submit the quarterly report by 2:15pm,Submit the quarterly report,2:15pm,
Submit the quarterly report by 8:30pm,Submit the quarterly report,8:30pm,
Call the client on June 5,Call the client on,,June 5
I need to review my applications at 4:15pm,I need to review,4:15pm,
Finish the budget review before 6:00am,Finish the budget review,6:00am,
Call the client on June 20,Call the client on,,June 20
Call the client on July 15,Call the client on,,July 15
Set up a one-on-one on June 19 at 5:30pm,Set up a one-on-one,5:30pm,June 19
Schedule a team meeting for July 5 at 8:15pm,Schedule a team meeting,8:15pm,July 5
Submit the quarterly report by 1:15pm,Submit the quarterly report,1:15pm,
Set up a one-on-one on June 14 at 7:00am,Set up a one-on-one,7:00am,June 14
Call the client on June 19,Call the client on,,June 19
Meet with HR at 9:45pm,Meet with hr at,9:45pm,
Meet with HR at 6:45pm,Meet with hr at,6:45pm,
Meet with HR at 5:45pm,Meet with hr at,5:45pm,
Finish the budget review before 7:15pm,Finish the budget review,7:15pm,
Send the invoice on June 3,Send the invoice on,,June 3
Submit the quarterly report by 5:30pm,Submit the quarterly report,5:30pm,
Set up a one-on-one on June 14 at 7:45pm,Set up a one-on-one,7:45pm,June 14
Finish the budget review before 5:00pm,Finish the budget review,5:00pm,
Send the invoice on June 3,Send the invoice on,,June 3
Check email updates around 10:45am,Check email updates around,10:45am,
Set up a one-on-one on June 15 at 10:30am,Set up a one-on-one,10:30am,June 15
Schedule a team meeting for July 17 at 10:00am,Schedule a team meeting,10:00am,July 17
Schedule a team meeting for June 21 at 8:30pm,Schedule a team meeting,8:30pm,June 21
Check email updates around 8:45pm,Check email updates around,8:45pm,
Schedule a team meeting for June 16 at 8:15pm,Schedule a team meeting,8:15pm,June 16
I need to review my applications at 1:15pm,I need to review,1:15pm,
Submit the quarterly report by 3:30pm,Submit the quarterly report,3:30pm,
Prepare slides for the presentation on July 16,Prepare slides for the,,July 16
Check email updates around 8:30am,Check email updates around,8:30am,
Meet with HR at 9:00pm,Meet with hr at,9:00pm,
Send the invoice on June 11,Send the invoice on,,June 11
Schedule a team meeting for May 21 at 3:15pm,Schedule a team meeting,3:15pm,May 21
Submit the quarterly report by 10:30am,Submit the quarterly report,10:30am,
I need to review my applications at 12:30pm,I need to review,12:30pm,
Send the invoice on July 11,Send the invoice on,,July 11
Set up a one-on-one on June 29 at 8:30pm,Set up a one-on-one,8:30pm,June 29
Prepare slides for the presentation on May 24,Prepare slides for the,,May 24
Meet with HR at 9:45am,Meet with hr at,9:45am,
Send the invoice on July 2,Send the invoice on,,July 2
Meet with HR at 8:15am,Meet with hr at,8:15am,
Check email updates around 4:45pm,Check email updates around,4:45pm,
Finish the budget review before 10:15am,Finish the budget review,10:15am,
Schedule a team meeting for June 7 at 8:45am,Schedule a team meeting,8:45am,June 7
Check email updates around 1:00pm,Check email updates around,1:00pm,
Finish the budget review before 6:15am,Finish the budget review,6:15am,
Check email updates around 12:45pm,Check email updates around,12:45pm,
Call the client on July 18,Call the client on,,July 18
Schedule a team meeting for May 31 at 6:00am,Schedule a team meeting,6:00am,May 31
I need to review my applications at 2:45pm,I need to review,2:45pm,
Submit the quarterly report by 1:45pm,Submit the quarterly report,1:45pm,
Call the client on May 26,Call the client on,,May 26
Send the invoice on July 14,Send the invoice on,,July 14
Send the invoice on June 30,Send the invoice on,,June 30
Prepare slides for the presentation on July 11,Prepare slides for the,,July 11
Set up a one-on-one on July 12 at 1:15pm,Set up a one-on-one,1:15pm,July 12
I need to review my applications at 7:45pm,I need to review,7:45pm,
Prepare slides for the presentation on July 6,Prepare slides for the,,July 6
Check email updates around 7:30am,Check email updates around,7:30am,
Finish the budget review before 9:15am,Finish the budget review,9:15am,
Schedule a team meeting for June 19 at 1:15pm,Schedule a team meeting,1:15pm,June 19
Call the client on June 16,Call the client on,,June 16
Check email updates around 7:30pm,Check email updates around,7:30pm,
Submit the quarterly report by 1:15pm,Submit the quarterly report,1:15pm,
Send the invoice on July 19,Send the invoice on,,July 19
I need to review my applications at 7:45pm,I need to review,7:45pm,
Check email updates around 10:45am,Check email updates around,10:45am,
I need to review my applications at 4:30pm,I need to review,4:30pm,
Finish the budget review before 1:45pm,Finish the budget review,1:45pm,
Send the invoice on June 15,Send the invoice on,,June 15
Check email updates around 1:30pm,Check email updates around,1:30pm,
Set up a one-on-one on May 31 at 11:30am,Set up a one-on-one,11:30am,May 31
Set up a one-on-one on July 14 at 4:45pm,Set up a one-on-one,4:45pm,July 14
Submit the quarterly report by 9:00am,Submit the quarterly report,9:00am,
I need to review my applications at 10:45am,I need to review,10:45am,
Submit the quarterly report by 10:00am,Submit the quarterly report,10:00am,
Send the invoice on May 29,Send the invoice on,,May 29
Finish the budget review before 5:30pm,Finish the budget review,5:30pm,
Set up a one-on-one on May 31 at 8:00am,Set up a one-on-one,8:00am,May 31
Finish the budget review before 4:00pm,Finish the budget review,4:00pm,
Set up a one-on-one on June 29 at 8:00am,Set up a one-on-one,8:00am,June 29
I need to review my applications at 12:15pm,I need to review,12:15pm,
Check email updates around 9:00pm,Check email updates around,9:00pm,
Set up a one-on-one on July 13 at 3:00pm,Set up a one-on-one,3:00pm,July 13
Set up a one-on-one on May 25 at 3:15pm,Set up a one-on-one,3:15pm,May 25
Send the invoice on July 1,Send the invoice on,,July 1
Meet with HR at 9:45am,Meet with hr at,9:45am,
Schedule a team meeting for June 15 at 3:00pm,Schedule a team meeting,3:00pm,June 15
Prepare slides for the presentation on July 11,Prepare slides for the,,July 11
Send the invoice on June 8,Send the invoice on,,June 8
Check email updates around 7:15pm,Check email updates around,7:15pm,
Finish the budget review before 4:15pm,Finish the budget review,4:15pm,
Send the invoice on May 23,Send the invoice on,,May 23
Submit the quarterly report by 7:00am,Submit the quarterly report,7:00am,
Submit the quarterly report by 8:15pm,Submit the quarterly report,8:15pm,
Submit the quarterly report by 3:30pm,Submit the quarterly report,3:30pm,
Prepare slides for the presentation on June 17,Prepare slides for the,,June 17
Check email updates around 9:30am,Check email updates around,9:30am,
Schedule a team meeting for June 13 at 9:00pm,Schedule a team meeting,9:00pm,June 13
Call the client on June 12,Call the client on,,June 12
Submit the quarterly report by 7:00am,Submit the quarterly report,7:00am,
Finish the budget review before 6:15pm,Finish the budget review,6:15pm,
Send the invoice on July 10,Send the invoice on,,July 10
Prepare slides for the presentation on July 12,Prepare slides for the,,July 12
Prepare slides for the presentation on July 18,Prepare slides for the,,July 18
Set up a one-on-one on July 15 at 11:00am,Set up a one-on-one,11:00am,July 15
Call the client on May 26,Call the client on,,May 26
Send the invoice on May 23,Send the invoice on,,May 23
Call the client on June 7,Call the client on,,June 7
Schedule a team meeting for May 23 at 11:45am,Schedule a team meeting,11:45am,May 23
I need to review my applications at 5:30pm,I need to review,5:30pm,
Set up a one-on-one on May 21 at 5:30pm,Set up a one-on-one,5:30pm,May 21
Submit the quarterly report by 9:15pm,Submit the quarterly report,9:15pm,
Call the client on June 23,Call the client on,,June 23
Check email updates around 12:45pm,Check email updates around,12:45pm,
I need to review my applications at 8:30pm,I need to review,8:30pm,
Send the invoice on June 11,Send the invoice on,,June 11
I need to review my applications at 7:00pm,I need to review,7:00pm,
Check email updates around 8:15pm,Check email updates around,8:15pm,
Prepare slides for the presentation on June 6,Prepare slides for the,,June 6
Finish the budget review before 7:15am,Finish the budget review,7:15am,
Set up a one-on-one on June 6 at 2:45pm,Set up a one-on-one,2:45pm,June 6
I need to review my applications at 1:00pm,I need to review,1:00pm,
Send the invoice on May 21,Send the invoice on,,May 21
Check email updates around 7:00am,Check email updates around,7:00am,
Finish the budget review before 7:00pm,Finish the budget review,7:00pm,
Finish the budget review before 7:45am,Finish the budget review,7:45am,
Schedule a team meeting for July 14 at 3:00pm,Schedule a team meeting,3:00pm,July 14
Schedule a team meeting for June 1 at 6:30pm,Schedule a team meeting,6:30pm,June 1
Meet with HR at 12:00pm,Meet with hr at,12:00pm,
Check email updates around 8:30am,Check email updates around,8:30am,
Schedule a team meeting for May 27 at 9:00pm,Schedule a team meeting,9:00pm,May 27
Call the client on July 2,Call the client on,,July 2
Finish the budget review before 2:45pm,Finish the budget review,2:45pm,
Check email updates around 12:15pm,Check email updates around,12:15pm,
Submit the quarterly report by 3:30pm,Submit the quarterly report,3:30pm,
Meet with HR at 8:00am,Meet with hr at,8:00am,
Submit the quarterly report by 6:15am,Submit the quarterly report,6:15am,
Finish the budget review before 11:00am,Finish the budget review,11:00am,
Send the invoice on June 22,Send the invoice on,,June 22
Meet with HR at 8:00pm,Meet with hr at,8:00pm,
Set up a one-on-one on June 12 at 2:00pm,Set up a one-on-one,2:00pm,June 12
Submit the quarterly report by 5:15pm,Submit the quarterly report,5:15pm,
Schedule a team meeting for July 18 at 2:00pm,Schedule a team meeting,2:00pm,July 18
Set up a one-on-one on May 31 at 8:00am,Set up a one-on-one,8:00am,May 31
Call the client on June 23,Call the client on,,June 23
Meet with HR at 12:45pm,Meet with hr at,12:45pm,
Prepare slides for the presentation on July 14,Prepare slides for the,,July 14
Check email updates around 7:00pm,Check email updates around,7:00pm,
Meet with HR at 6:15pm,Meet with hr at,6:15pm,
Schedule a team meeting for July 7 at 9:00pm,Schedule a team meeting,9:00pm,July 7
Schedule a team meeting for June 14 at 9:45pm,Schedule a team meeting,9:45pm,June 14
Prepare slides for the presentation on July 17,Prepare slides for the,,July 17
I need to review my applications at 7:45am,I need to review,7:45am,
I need to review my applications at 5:00pm,I need to review,5:00pm,
Prepare slides for the presentation on July 7,Prepare slides for the,,July 7
I need to review my applications at 4:45pm,I need to review,4:45pm,
Call the client on June 27,Call the client on,,June 27
Call the client on June 25,Call the client on,,June 25
Meet with HR at 4:00pm,Meet with hr at,4:00pm,
I need to review my applications at 4:15pm,I need to review,4:15pm,
Meet with HR at 7:30pm,Meet with hr at,7:30pm,
Submit the quarterly report by 7:30am,Submit the quarterly report,7:30am,
Call the client on May 30,Call the client on,,May 30
Finish the budget review before 4:45pm,Finish the budget review,4:45pm,
Meet with HR at 5:00pm,Meet with hr at,5:00pm,
Finish the budget review before 3:45pm,Finish the budget review,3:45pm,
I need to review my applications at 3:30pm,I need to review,3:30pm,
Submit the quarterly report by 10:00am,Submit the quarterly report,10:00am,
Submit the quarterly report by 9:30am,Submit the quarterly report,9:30am,
Prepare slides for the presentation on June 1,Prepare slides for the,,June 1
Set up a one-on-one on June 4 at 12:00pm,Set up a one-on-one,12:00pm,June 4
I need to review my applications at 2:30pm,I need to review,2:30pm,
Meet with HR at 8:30am,Meet with hr at,8:30am,
Meet with HR at 3:00pm,Meet with hr at,3:00pm,
Check email updates around 7:30am,Check email updates around,7:30am,
Check email updates around 8:30am,Check email updates around,8:30am,
I need to review my applications at 10:00am,I need to review,10:00am,
Set up a one-on-one on July 17 at 6:00am,Set up a one-on-one,6:00am,July 17
Send the invoice on July 11,Send the invoice on,,July 11
Prepare slides for the presentation on June 6,Prepare slides for the,,June 6
Call the client on June 11,Call the client on,,June 11
Call the client on June 30,Call the client on,,June 30
I need to review my applications at 9:15pm,I need to review,9:15pm,
Call the client on June 16,Call the client on,,June 16
I need to review my applications at 2:15pm,I need to review,2:15pm,
Meet with HR at 1:00pm,Meet with hr at,1:00pm,
Schedule a team meeting for July 12 at 6:15pm,Schedule a team meeting,6:15pm,July 12
Meet with HR at 3:30pm,Meet with hr at,3:30pm,
Check email updates around 7:30pm,Check email updates around,7:30pm,
Schedule a team meeting for June 6 at 9:45am,Schedule a team meeting,9:45am,June 6
Set up a one-on-one on May 28 at 9:00pm,Set up a one-on-one,9:00pm,May 28
Check email updates around 12:30pm,Check email updates around,12:30pm,
Call the client on July 2,Call the client on,,July 2
Schedule a team meeting for June 4 at 10:00am,Schedule a team meeting,10:00am,June 4
Schedule a team meeting for July 3 at 7:00am,Schedule a team meeting,7:00am,July 3
Check email updates around 10:15am,Check email updates around,10:15am,
Submit the quarterly report by 6:15am,Submit the quarterly report,6:15am,
Submit the quarterly report by 6:45am,Submit the quarterly report,6:45am,
Prepare slides for the presentation on May 30,Prepare slides for the,,May 30
Call the client on June 10,Call the client on,,June 10
Check email updates around 6:30pm,Check email updates around,6:30pm,
Schedule a team meeting for June 14 at 10:15am,Schedule a team meeting,10:15am,June 14
Prepare slides for the presentation on June 21,Prepare slides for the,,June 21
Send the invoice on May 24,Send the invoice on,,May 24
Finish the budget review before 6:45am,Finish the budget review,6:45am,
Call the client on July 7,Call the client on,,July 7
Send the invoice on June 16,Send the invoice on,,June 16
Submit the quarterly report by 3:15pm,Submit the quarterly report,3:15pm,
Finish the budget review before 11:45am,Finish the budget review,11:45am,
I need to review my applications at 9:00pm,I need to review,9:00pm,
Send the invoice on July 1,Send the invoice on,,July 1
Schedule a team meeting for July 4 at 8:15pm,Schedule a team meeting,8:15pm,July 4
Finish the budget review before 9:45pm,Finish the budget review,9:45pm,
Call the client on June 18,Call the client on,,June 18
Call the client on July 1,Call the client on,,July 1
Send the invoice on July 20,Send the invoice on,,July 20
Meet with HR at 10:00am,Meet with hr at,10:00am,
Prepare slides for the presentation on June 7,Prepare slides for the,,June 7
Meet with HR at 3:45pm,Meet with hr at,3:45pm,
Submit the quarterly report by 9:15am,Submit the quarterly report,9:15am,
Finish the budget review before 2:15pm,Finish the budget review,2:15pm,
Meet with HR at 11:45am,Meet with hr at,11:45am,
I need to review my applications at 10:00am,I need to review,10:00am,
Meet with HR at 7:30pm,Meet with hr at,7:30pm,
Send the invoice on May 27,Send the invoice on,,May 27
Finish the budget review before 7:30pm,Finish the budget review,7:30pm,
Finish the budget review before 12:45pm,Finish the budget review,12:45pm,
Set up a one-on-one on June 14 at 5:00pm,Set up a one-on-one,5:00pm,June 14
Send the invoice on June 10,Send the invoice on,,June 10
I need to review my applications at 4:30pm,I need to review,4:30pm,
Schedule a team meeting for June 4 at 4:45pm,Schedule a team meeting,4:45pm,June 4
Check email updates around 6:00am,Check email updates around,6:00am,
Set up a one-on-one on June 16 at 10:15am,Set up a one-on-one,10:15am,June 16
I need to review my applications at 12:45pm,I need to review,12:45pm,
Meet with HR at 8:00am,Meet with hr at,8:00am,
Meet with HR at 8:15pm,Meet with hr at,8:15pm,
Schedule a team meeting for May 27 at 12:30pm,Schedule a team meeting,12:30pm,May 27
I need to review my applications at 2:00pm,I need to review,2:00pm,
Set up a one-on-one on June 7 at 7:00pm,Set up a one-on-one,7:00pm,June 7
Set up a one-on-one on May 26 at 8:15pm,Set up a one-on-one,8:15pm,May 26
Prepare slides for the presentation on May 26,Prepare slides for the,,May 26
Finish the budget review before 1:00pm,Finish the budget review,1:00pm,
Finish the budget review before 11:00am,Finish the budget review,11:00am,
Send the invoice on July 16,Send the invoice on,,July 16
Prepare slides for the presentation on June 22,Prepare slides for the,,June 22
Set up a one-on-one on May 21 at 1:30pm,Set up a one-on-one,1:30pm,May 21
Check email updates around 5:30pm,Check email updates around,5:30pm,
Send the invoice on July 7,Send the invoice on,,July 7
Submit the quarterly report by 6:30am,Submit the quarterly report,6:30am,
Call the client on July 7,Call the client on,,July 7
I need to review my applications at 11:15am,I need to review,11:15am,
Schedule a team meeting for June 8 at 12:15pm,Schedule a team meeting,12:15pm,June 8
Send the invoice on June 4,Send the invoice on,,June 4
Set up a one-on-one on May 28 at 10:00am,Set up a one-on-one,10:00am,May 28
Schedule a team meeting for July 13 at 5:30pm,Schedule a team meeting,5:30pm,July 13
Check email updates around 10:00am,Check email updates around,10:00am,
Call the client on May 21,Call the client on,,May 21
Call the client on June 24,Call the client on,,June 24
Call the client on May 26,Call the client on,,May 26
Call the client on May 30,Call the client on,,May 30
Check email updates around 9:45am,Check email updates around,9:45am,
Call the client on July 16,Call the client on,,July 16
Send the invoice on June 18,Send the invoice on,,June 18
Check email updates around 11:45am,Check email updates around,11:45am,
Prepare slides for the presentation on July 19,Prepare slides for the,,July 19
I need to review my applications at 12:45pm,I need to review,12:45pm,
Check email updates around 8:00pm,Check email updates around,8:00pm,
Set up a one-on-one on July 17 at 9:15am,Set up a one-on-one,9:15am,July 17
I need to review my applications at 1:00pm,I need to review,1:00pm,
Send the invoice on May 24,Send the invoice on,,May 24
Meet with HR at 11:15am,Meet with hr at,11:15am,
Call the client on June 22,Call the client on,,June 22
Set up a one-on-one on June 24 at 8:15am,Set up a one-on-one,8:15am,June 24
Meet with HR at 8:30am,Meet with hr at,8:30am,
Meet with HR at 8:30am,Meet with hr at,8:30am,
Prepare slides for the presentation on May 23,Prepare slides for the,,May 23
Check email updates around 9:15pm,Check email updates around,9:15pm,
Schedule a team meeting for June 29 at 8:15am,Schedule a team meeting,8:15am,June 29
Send the invoice on July 6,Send the invoice on,,July 6
Meet with HR at 8:30am,Meet with hr at,8:30am,
Call the client on May 22,Call the client on,,May 22
I need to review my applications at 6:00am,I need to review,6:00am,
I need to review my applications at 6:00am,I need to review,6:00am,
Call the client on July 4,Call the client on,,July 4
Schedule a team meeting for June 18 at 9:00pm,Schedule a team meeting,9:00pm,June 18
Meet with HR at 5:00pm,Meet with hr at,5:00pm,
Set up a one-on-one on June 12 at 6:15am,Set up a one-on-one,6:15am,June 12
Prepare slides for the presentation on July 10,Prepare slides for the,,July 10
Meet with HR at 3:30pm,Meet with hr at,3:30pm,
Call the client on June 28,Call the client on,,June 28
Set up a one-on-one on June 21 at 9:30pm,Set up a one-on-one,9:30pm,June 21
Meet with HR at 8:15am,Meet with hr at,8:15am,
Finish the budget review before 7:30am,Finish the budget review,7:30am,
Send the invoice on June 19,Send the invoice on,,June 19
I need to review my applications at 7:00am,I need to review,7:00am,
Finish the budget review before 1:45pm,Finish the budget review,1:45pm,
Prepare slides for the presentation on July 6,Prepare slides for the,,July 6
Meet with HR at 2:15pm,Meet with hr at,2:15pm,
Check email updates around 9:15am,Check email updates around,9:15am,
Call the client on June 10,Call the client on,,June 10
Prepare slides for the presentation on June 9,Prepare slides for the,,June 9
Call the client on June 25,Call the client on,,June 25
I need to review my applications at 9:00pm,I need to review,9:00pm,
Schedule a team meeting for June 28 at 1:45pm,Schedule a team meeting,1:45pm,June 28
Set up a one-on-one on July 10 at 8:30pm,Set up a one-on-one,8:30pm,July 10
I need to review my applications at 11:15am,I need to review,11:15am,
I need to review my applications at 2:00pm,I need to review,2:00pm,
Submit the quarterly report by 6:30pm,Submit the quarterly report,6:30pm,
Meet with HR at 9:00am,Meet with hr at,9:00am,
Finish the budget review before 11:45am,Finish the budget review,11:45am,
Schedule a team meeting for July 5 at 12:45pm,Schedule a team meeting,12:45pm,July 5
Schedule a team meeting for June 7 at 8:45am,Schedule a team meeting,8:45am,June 7
Schedule a team meeting for May 30 at 10:00am,Schedule a team meeting,10:00am,May 30
Check email updates around 3:15pm,Check email updates around,3:15pm,
Set up a one-on-one on June 9 at 3:45pm,Set up a one-on-one,3:45pm,June 9
Call the client on July 16,Call the client on,,July 16
Check email updates around 10:30am,Check email updates around,10:30am,
Meet with HR at 7:15pm,Meet with hr at,7:15pm,
Finish the budget review before 2:00pm,Finish the budget review,2:00pm,
I need to review my applications at 6:30pm,I need to review,6:30pm,
Check email updates around 11:30am,Check email updates around,11:30am,
Prepare slides for the presentation on June 1,Prepare slides for the,,June 1
Check email updates around 1:30pm,Check email updates around,1:30pm,
Meet with HR at 11:30am,Meet with hr at,11:30am,
I need to review my applications at 8:45am,I need to review,8:45am,
Finish the budget review before 7:30pm,Finish the budget review,7:30pm,
Finish the budget review before 6:15am,Finish the budget review,6:15am,
Submit the quarterly report by 5:15pm,Submit the quarterly report,5:15pm,
Meet with HR at 11:30am,Meet with hr at,11:30am,
Call the client on July 3,Call the client on,,July 3
Prepare slides for the presentation on July 3,Prepare slides for the,,July 3
I need to review my applications at 3:15pm,I need to review,3:15pm,
Schedule a team meeting for June 2 at 12:30pm,Schedule a team meeting,12:30pm,June 2
Meet with HR at 2:30pm,Meet with hr at,2:30pm,
Submit the quarterly report by 6:15pm,Submit the quarterly report,6:15pm,
Call the client on May 27,Call the client on,,May 27
Set up a one-on-one on July 6 at 8:45pm,Set up a one-on-one,8:45pm,July 6
Submit the quarterly report by 7:15am,Submit the quarterly report,7:15am,
Set up a one-on-one on June 21 at 8:15am,Set up a one-on-one,8:15am,June 21
Schedule a team meeting for July 1 at 10:45am,Schedule a team meeting,10:45am,July 1
Prepare slides for the presentation on July 16,Prepare slides for the,,July 16
Check email updates around 7:00am,Check email updates around,7:00am,
Set up a one-on-one on June 14 at 9:30pm,Set up a one-on-one,9:30pm,June 14
Submit the quarterly report by 8:45pm,Submit the quarterly report,8:45pm,
Meet with HR at 6:00am,Meet with hr at,6:00am,
Call the client on July 11,Call the client on,,July 11
I need to review my applications at 9:30am,I need to review,9:30am,
Check email updates around 9:15am,Check email updates around,9:15am,
Set up a one-on-one on July 4 at 6:15am,Set up a one-on-one,6:15am,July 4
Check email updates around 4:45pm,Check email updates around,4:45pm,
Send the invoice on July 12,Send the invoice on,,July 12
Set up a one-on-one on July 18 at 9:45am,Set up a one-on-one,9:45am,July 18
I need to review my applications at 12:45pm,I need to review,12:45pm,
Set up a one-on-one on July 16 at 5:15pm,Set up a one-on-one,5:15pm,July 16
I need to review my applications at 8:30am,I need to review,8:30am,
Submit the quarterly report by 9:30am,Submit the quarterly report,9:30am,
Meet with HR at 3:15pm,Meet with hr at,3:15pm,
Check email updates around 9:30pm,Check email updates around,9:30pm,
I need to review my applications at 10:45am,I need to review,10:45am,
Call the client on June 28,Call the client on,,June 28
Set up a one-on-one on June 5 at 10:00am,Set up a one-on-one,10:00am,June 5
Send the invoice on June 11,Send the invoice on,,June 11
Check email updates around 8:00am,Check email updates around,8:00am,
I need to review my applications at 3:15pm,I need to review,3:15pm,
Meet with HR at 7:00pm,Meet with hr at,7:00pm,
Prepare slides for the presentation on June 5,Prepare slides for the,,June 5
Send the invoice on June 17,Send the invoice on,,June 17
I need to review my applications at 9:00am,I need to review,9:00am,
Call the client on July 20,Call the client on,,July 20
I need to review my applications at 12:00pm,I need to review,12:00pm,
Schedule a team meeting for June 15 at 5:45pm,Schedule a team meeting,5:45pm,June 15
Set up a one-on-one on June 14 at 8:00am,Set up a one-on-one,8:00am,June 14
Call the client on June 10,Call the client on,,June 10
Schedule a team meeting for July 9 at 9:15am,Schedule a team meeting,9:15am,July 9
Schedule a team meeting for June 12 at 2:30pm,Schedule a team meeting,2:30pm,June 12
I need to review my applications at 7:15pm,I need to review,7:15pm,
Set up a one-on-one on June 30 at 9:45am,Set up a one-on-one,9:45am,June 30
Send the invoice on June 29,Send the invoice on,,June 29
Schedule a team meeting for July 7 at 2:30pm,Schedule a team meeting,2:30pm,July 7
I need to review my applications at 9:15am,I need to review,9:15am,
Meet with HR at 6:45am,Meet with hr at,6:45am,
Schedule a team meeting for June 5 at 4:30pm,Schedule a team meeting,4:30pm,June 5
Send the invoice on May 23,Send the invoice on,,May 23
Schedule a team meeting for June 29 at 1:30pm,Schedule a team meeting,1:30pm,June 29
Submit the quarterly report by 7:00am,Submit the quarterly report,7:00am,
Prepare slides for the presentation on June 28,Prepare slides for the,,June 28
I need to review my applications at 5:00pm,I need to review,5:00pm,
Finish the budget review before 3:15pm,Finish the budget review,3:15pm,
I need to review my applications at 8:30pm,I need to review,8:30pm,
Call the client on July 9,Call the client on,,July 9
Set up a one-on-one on July 13 at 6:30pm,Set up a one-on-one,6:30pm,July 13
Meet with HR at 8:00pm,Meet with hr at,8:00pm,
Meet with HR at 3:15pm,Meet with hr at,3:15pm,
Prepare slides for the presentation on May 30,Prepare slides for the,,May 30
Prepare slides for the presentation on May 22,Prepare slides for the,,May 22
Meet with HR at 3:15pm,Meet with hr at,3:15pm,
Schedule a team meeting for July 13 at 9:15am,Schedule a team meeting,9:15am,July 13
Schedule a team meeting for July 9 at 3:15pm,Schedule a team meeting,3:15pm,July 9
Check email updates around 6:00pm,Check email updates around,6:00pm,
Set up a one-on-one on May 30 at 6:45am,Set up a one-on-one,6:45am,May 30
Check email updates around 9:45am,Check email updates around,9:45am,
Check email updates around 6:45am,Check email updates around,6:45am,
Schedule a team meeting for June 23 at 3:15pm,Schedule a team meeting,3:15pm,June 23
Set up a one-on-one on July 2 at 1:30pm,Set up a one-on-one,1:30pm,July 2
Set up a one-on-one on July 17 at 5:15pm,Set up a one-on-one,5:15pm,July 17
Meet with HR at 10:00am,Meet with hr at,10:00am,
Finish the budget review before 6:30am,Finish the budget review,6:30am,
Submit the quarterly report by 10:45am,Submit the quarterly report,10:45am,
I need to review my applications at 10:45am,I need to review,10:45am,
Prepare slides for the presentation on July 2,Prepare slides for the,,July 2
Finish the budget review before 8:45am,Finish the budget review,8:45am,
Check email updates around 5:45pm,Check email updates around,5:45pm,
Submit the quarterly report by 12:00pm,Submit the quarterly report,12:00pm,
Send the invoice on July 3,Send the invoice on,,July 3
Call the client on June 26,Call the client on,,June 26
Prepare slides for the presentation on July 13,Prepare slides for the,,July 13
Schedule a team meeting for June 24 at 2:45pm,Schedule a team meeting,2:45pm,June 24
Call the client on July 14,Call the client on,,July 14
Meet with HR at 2:00pm,Meet with hr at,2:00pm,
I need to review my applications at 11:45am,I need to review,11:45am,
Schedule a team meeting for July 2 at 6:00am,Schedule a team meeting,6:00am,July 2
Meet with HR at 7:45pm,Meet with hr at,7:45pm,
Check email updates around 8:00am,Check email updates around,8:00am,
Check email updates around 12:00pm,Check email updates around,12:00pm,
Schedule a team meeting for May 24 at 4:00pm,Schedule a team meeting,4:00pm,May 24
Submit the quarterly report by 6:00pm,Submit the quarterly report,6:00pm,
Finish the budget review before 8:30am,Finish the budget review,8:30am,
Set up a one-on-one on May 24 at 8:30am,Set up a one-on-one,8:30am,May 24
Send the invoice on July 15,Send the invoice on,,July 15
Meet with HR at 12:45pm,Meet with hr at,12:45pm,
Check email updates around 10:00am,Check email updates around,10:00am,
Prepare slides for the presentation on June 7,Prepare slides for the,,June 7
I need to review my applications at 9:45pm,I need to review,9:45pm,
Set up a one-on-one on May 31 at 3:45pm,Set up a one-on-one,3:45pm,May 31
I need to review my applications at 8:15pm,I need to review,8:15pm,
Check email updates around 7:15pm,Check email updates around,7:15pm,
Call the client on June 25,Call the client on,,June 25
Submit the quarterly report by 9:45pm,Submit the quarterly report,9:45pm,
Check email updates around 7:15am,Check email updates around,7:15am,
Set up a one-on-one on May 22 at 8:30am,Set up a one-on-one,8:30am,May 22
Check email updates around 2:00pm,Check email updates around,2:00pm,
Schedule a team meeting for June 4 at 12:45pm,Schedule a team meeting,12:45pm,June 4
Submit the quarterly report by 10:30am,Submit the quarterly report,10:30am,
Call the client on July 18,Call the client on,,July 18
Check email updates around 9:45am,Check email updates around,9:45am,
Submit the quarterly report by 8:00pm,Submit the quarterly report,8:00pm,
